scope,category,base_api,description,forms,source
header,1e,int1e_rr_origj,<i|R R |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:170
header,1e,int1e_rrr,<i|RC RC RC |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:140
header,1e,int1e_rrrr,<i|RC RC RC RC |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:146
header,1e,int1e_sa01sp,<i|NABLA-RINV CROSS SIGMA |SIGMA DOT P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:440
header,1e,int1e_sigma,<i|OVLP |SIGMA j>,optimizer;cart;sph;spinor,include/cint_funcs.h:326
header,1e,int1e_sp,<SIGMA DOT P i|OVLP |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:362
header,1e,int1e_spgnucsp,<G SIGMA DOT P i|NUC |SIGMA DOT P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:452
header,1e,int1e_spgsa01,<G SIGMA DOT P i|NABLA-RINV CROSS SIGMA |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:458
header,1e,int1e_spgsp,<G SIGMA DOT P i|OVLP |SIGMA DOT P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:446
header,1e,int1e_spnuc,<SIGMA DOT P i|NUC |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:560
header,1e,int1e_spnucsp,<SIGMA DOT P i|NUC |SIGMA DOT P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:368
header,1e,int1e_sprinvsp,<SIGMA DOT P i|RINV |SIGMA DOT P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:374
header,1e,int1e_sprsp,<SIGMA DOT P i|RC |SIGMA DOT P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:386
header,1e,int1e_spsigmasp,<SIGMA DOT P i|OVLP |SIGMA SIGMA DOT P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:332
header,1e,int1e_spsp,<SIGMA DOT P i|OVLP |SIGMA DOT P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:356
header,1e,int1e_spspsp,<SIGMA DOT P i|OVLP |SIGMA DOT P SIGMA DOT P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:554
header,1e,int1e_sr,<SIGMA DOT R i|OVLP |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:344
header,1e,int1e_srnucsr,<SIGMA DOT R i|NUC |SIGMA DOT R j>,optimizer;cart;sph;spinor,include/cint_funcs.h:380
header,1e,int1e_srsp,<SIGMA DOT R i|OVLP |SIGMA DOT P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:350
header,1e,int1e_srsr,<SIGMA DOT R i|OVLP |SIGMA DOT R j>,optimizer;cart;sph;spinor,include/cint_funcs.h:338
header,1e,int1e_z,<i|ZC |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:104
